_id,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,target
df7489733b004bbe40d3d37b34f82419,54,technician,married,professional.course,unknown,no,no,cellular,aug,tue,87,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0
905a0b9a5456ee962223033473666be3,36,services,single,basic.4y,no,no,no,telephone,may,mon,291,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
02d69c07ec6d68e31d641edd45ce61cd,53,blue-collar,married,basic.4y,no,yes,no,cellular,aug,mon,182,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0
e492fbe0cccaf67cdb5c0944dbc8a167,34,blue-collar,married,basic.9y,no,yes,yes,telephone,may,wed,180,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
ac2dc6f5835bdea8e71dd99b65208d07,29,services,single,university.degree,no,yes,no,telephone,aug,fri,6,1,999,0,nonexistent,-1.7,94.027,-38.3,0.89,4991.6,0
3c41d96da147ab5a745938cbd85e2313,56,self-employed,single,basic.9y,unknown,no,no,telephone,jun,thu,64,2,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0
1a87845e9d5740a2619acd478da08459,33,admin.,married,university.degree,no,yes,yes,cellular,may,mon,312,2,999,0,nonexistent,-1.8,93.876,-40.0,0.685,5008.7,0
e07d393a5d9b174b39f6064823386759,36,management,married,university.degree,no,yes,no,cellular,nov,wed,20,1,999,1,failure,-0.1,93.2,-42.0,4.12,5195.8,0
e5a3da407a75e8475a3e1bb6a804b1c7,70,retired,married,professional.course,no,no,no,cellular,oct,thu,585,1,6,3,success,-1.1,94.601,-49.5,0.987,4963.6,1
42b112272cd4851b4d65d1ed464fbbd9,32,blue-collar,married,professional.course,unknown,yes,no,cellular,may,thu,196,2,999,1,failure,-1.8,92.89299999999999,-46.2,1.327,5099.1,0
13d1b247882324ade5e27cb5823168ce,48,admin.,married,high.school,no,yes,yes,telephone,may,fri,230,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,0
34f3e8404d0ff8b12d2e7be426703580,34,blue-collar,married,professional.course,no,yes,no,telephone,may,mon,210,2,999,0,nonexistent,1.1,93.994,-36.4,4.8580000000000005,5191.0,0
658f8926c5f1f915398c5a08b985718b,29,services,single,professional.course,no,yes,no,telephone,jun,tue,161,2,999,0,nonexistent,-2.9,92.963,-40.8,1.252,5076.2,0
bbc46d5d98f2af40312ede115c0611d3,38,technician,married,basic.6y,unknown,yes,yes,telephone,may,wed,163,3,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0
a2a6549b622f3937c66b40f806da3f28,29,entrepreneur,single,university.degree,no,no,no,cellular,apr,fri,758,2,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0
0f0a1783841fcaee35adf3ac18bb6b6e,38,technician,married,unknown,no,yes,no,cellular,jul,wed,644,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,0
a8498a5ced174919e9618f69d8da3514,24,blue-collar,single,basic.9y,no,yes,no,cellular,jul,wed,590,3,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,0
bdfc0757136671abbf785346a9677eb9,34,unemployed,married,basic.6y,unknown,no,yes,telephone,jun,fri,152,1,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,0
ad4ddcd54807b24f7d0e9290865583af,49,services,divorced,high.school,unknown,no,yes,telephone,may,fri,82,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
e9d44b24b224a789cb0a6d6be744ee02,47,blue-collar,single,basic.4y,no,no,no,telephone,may,tue,184,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
9a676f614e0fdafffd885fa06da360e5,39,management,married,university.degree,no,no,no,cellular,jun,mon,168,1,999,1,failure,-1.7,94.055,-39.8,0.72,4991.6,0
304d1cde1c30d22a53cbe71158cf8da8,46,blue-collar,married,professional.course,no,no,no,telephone,aug,mon,255,3,999,0,nonexistent,-2.9,92.20100000000001,-31.4,0.884,5076.2,0
5e345fdce6fb10d9162dfcb9fcab6291,47,blue-collar,married,basic.6y,no,yes,yes,cellular,jul,mon,298,3,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,0
98e5198294f54198761188f2f3026157,46,admin.,divorced,high.school,no,yes,no,telephone,oct,fri,3253,1,999,0,nonexistent,-0.1,93.79799999999999,-40.4,5.045,5195.8,0
fcb39ae9118f11ed8888acf2894ff39f,46,admin.,single,high.school,no,no,no,cellular,aug,thu,510,2,17,1,success,-1.7,94.027,-38.3,0.904,4991.6,0
5dc13e0ab97ce145dc71554f042d7f88,37,admin.,divorced,university.degree,no,no,no,telephone,may,fri,18,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,0
cf05b11cd85bfb0de070accda0ae02c7,50,services,married,basic.6y,no,yes,no,telephone,may,mon,85,4,999,0,nonexistent,1.1,93.994,-36.4,4.8580000000000005,5191.0,0
1a2806f2831f8ed4cee0d96f7189cd6b,32,admin.,single,university.degree,no,yes,no,cellular,jul,tue,59,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,0
bcb26dd8d8629050593b2bae0406f871,40,services,single,basic.6y,no,no,no,cellular,nov,thu,107,1,999,0,nonexistent,-0.1,93.2,-42.0,4.0760000000000005,5195.8,0
09b2b2b497ba98b396bb03cd9656031b,36,admin.,married,professional.course,no,yes,no,cellular,nov,tue,201,2,999,0,nonexistent,-0.1,93.2,-42.0,4.1530000000000005,5195.8,0
743e5990a7d1bd3404f221fb0ee1eef7,39,blue-collar,married,basic.9y,no,yes,no,cellular,jul,thu,266,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,0
36b4c03ae25f1f8f3b3a6a4a1c108013,32,services,married,high.school,no,no,no,cellular,may,mon,161,2,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.2990000000000002,5099.1,0
1675983cf9fec896f8a5c93e9c191f0f,44,services,married,basic.4y,unknown,no,yes,cellular,jul,fri,127,4,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.957,5228.1,0
8dd12fce6ff113c9c8aa8faf5e78d3df,29,blue-collar,married,basic.6y,no,no,no,telephone,jun,mon,69,3,999,0,nonexistent,1.4,94.465,-41.8,4.947,5228.1,0
92add71485c8aa9cce708aea0e803856,33,technician,single,university.degree,no,no,no,telephone,nov,fri,336,1,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,0
583f1e6ae6139d843c311b2915ad55cd,43,technician,married,unknown,unknown,no,no,telephone,may,mon,366,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
13e48d8313ebc629a42d3e61d2966282,25,admin.,single,high.school,no,no,no,cellular,jul,thu,449,2,999,0,nonexistent,-1.7,94.215,-40.3,0.81,4991.6,1
553f824137ca81741b58da5ba4452006,36,blue-collar,single,basic.9y,no,no,no,cellular,jul,mon,31,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,0
b1425433458f0a942743d6be801bdff8,39,admin.,single,university.degree,no,no,no,cellular,jul,tue,60,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1,0
784cd53f268a5509addee32532dfc142,56,blue-collar,married,basic.9y,unknown,no,no,telephone,may,wed,167,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
859837e06fa61e237f76d9e1071f1313,34,technician,married,professional.course,no,no,no,telephone,jun,wed,67,2,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,0
dd2533babb9ca8c351810e209e202c8c,31,services,married,high.school,no,yes,no,cellular,jun,wed,591,2,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,1
982c6661def00c7b89595ec6aa9d7c75,54,housemaid,unknown,basic.4y,no,yes,no,cellular,jul,wed,198,13,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,0
65579e8ff44d51a2bd78a7b0d6dea5cf,29,technician,single,university.degree,no,no,no,cellular,jul,tue,225,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,0
d24931a13283a6eccd9be26178c3d72d,58,blue-collar,married,high.school,no,yes,no,telephone,aug,fri,4,1,999,0,nonexistent,-1.7,94.027,-38.3,0.888,4991.6,0
c70dda8b2f742099ec63ca516506509b,29,housemaid,married,high.school,no,no,no,cellular,nov,thu,99,2,999,0,nonexistent,-0.1,93.2,-42.0,4.0760000000000005,5195.8,0
ec8d801a270eca3b5775f9a080ce522f,56,admin.,divorced,university.degree,no,no,no,cellular,jul,tue,213,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1,0
9db7c9f9bcc3815507d362f559752d82,56,management,divorced,university.degree,no,no,no,cellular,nov,wed,287,3,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,0
7729657794de1fa8eb6ba75850e95d4e,29,admin.,single,university.degree,no,no,no,cellular,aug,mon,716,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,1
3eaaa3fc29f1d68febea2d8f87796875,29,blue-collar,married,basic.9y,no,no,no,cellular,jul,wed,125,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,0
5995a9ab5b641917e8d2a9cee07cbbb8,26,admin.,single,high.school,no,yes,no,telephone,apr,wed,170,3,999,0,nonexistent,-1.8,93.075,-47.1,1.415,5099.1,1
767c9a7c510a4c3b30fb974f329cb85d,34,admin.,married,professional.course,no,no,yes,cellular,jul,tue,82,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,0
353d125aa6a11ea722fc6fd24a8e21b7,41,technician,single,professional.course,no,no,no,cellular,aug,tue,358,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0
991d68f2a65c57bec690aecec11437d9,39,technician,married,unknown,no,yes,yes,cellular,may,fri,256,1,12,1,success,-1.8,92.89299999999999,-46.2,1.25,5099.1,0
1f47516bf918efc2009b32a0ea3f520a,45,management,married,university.degree,unknown,yes,yes,cellular,jul,mon,56,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,0
dd7b187a4c29b669af5601346a34b3c5,42,admin.,married,university.degree,no,no,no,cellular,may,mon,98,2,999,1,failure,-1.8,92.89299999999999,-46.2,1.2990000000000002,5099.1,0
94b729ee7b87be6b2544c1e869650f06,47,admin.,married,university.degree,no,no,no,cellular,aug,mon,97,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0
c0bfd54c3ea305047fe7dab405f23b9b,47,blue-collar,married,basic.6y,no,no,no,cellular,aug,tue,56,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,0
7dd623034ee318b15f6f3d5552ee8697,43,blue-collar,married,basic.9y,no,yes,no,cellular,apr,mon,8,2,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0
a3e479a45fce1c1eeb509011719890bf,41,technician,single,professional.course,no,no,no,cellular,nov,mon,64,1,999,0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,0
28f3b58b3a95a417ea8231477140cc2d,21,blue-collar,single,basic.9y,no,no,no,cellular,may,mon,37,2,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.244,5099.1,0
2666951c57949643ee3d25c8ba69773c,36,services,married,university.degree,no,yes,no,cellular,nov,wed,86,3,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,0
e9bf4a3e28d4d044f403c615854ab2a2,39,blue-collar,divorced,basic.9y,no,yes,no,telephone,may,tue,182,6,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,0
a7830c763bf19bf688ddc6bc58260701,38,admin.,married,university.degree,no,no,no,cellular,aug,thu,1126,3,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,1
64011bfe6c21d27ccd418f0100f5f6cb,36,technician,married,professional.course,unknown,yes,no,telephone,may,thu,180,2,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,0
ed44f20c7e49849c5dfbb2fea8b6a030,36,services,divorced,university.degree,no,no,no,telephone,jun,wed,69,2,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,0
58710618748fe50372e48793beb3016a,48,blue-collar,married,professional.course,unknown,yes,no,cellular,aug,thu,127,3,999,0,nonexistent,1.4,93.444,-36.1,4.9639999999999995,5228.1,0
d356d4af96a7e1a862a4a8fb95ef574d,29,admin.,single,university.degree,no,yes,no,cellular,aug,fri,296,1,999,0,nonexistent,1.4,93.444,-36.1,4.9639999999999995,5228.1,0
07f1e0519d0a70fb70600cca059c46b7,53,services,married,high.school,unknown,yes,no,telephone,jun,mon,381,2,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,0
d757a441fc55591db86c5bdcb892658e,85,retired,married,basic.4y,no,yes,no,cellular,apr,fri,117,2,999,0,nonexistent,-1.8,93.075,-47.1,1.4,5099.1,0
0580a791acbe79ff41fce247ddc0ae61,40,services,married,high.school,no,no,no,telephone,may,fri,307,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,0
f3b6c71133250c191fa7fc8a517ac28c,48,admin.,married,professional.course,no,no,no,telephone,jun,wed,105,2,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,0
b190921dedb56f7ac1e4c1dc9e27c8a7,59,retired,divorced,professional.course,no,yes,no,cellular,may,wed,281,3,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.281,5099.1,0
6aaf2fb55d1a0c300fd3e2d2e5e3f62a,36,self-employed,married,basic.9y,no,yes,yes,telephone,may,fri,122,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0
c7fc95def1d53bd3e747248ecbd3cd5e,41,admin.,married,high.school,no,no,no,telephone,may,tue,635,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
6d963eadcfdebc6c8f7cb0856e8b981f,30,management,married,university.degree,no,yes,no,cellular,apr,thu,271,1,2,1,success,-1.8,93.075,-47.1,1.365,5099.1,1
8df96a42b83a24bb471f22aceae25220,40,blue-collar,divorced,basic.9y,no,yes,no,cellular,jul,wed,207,3,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,0
5311a19474917f8ff80c6ffa725e0ff5,55,retired,divorced,basic.6y,unknown,no,no,telephone,jun,mon,228,2,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,0
fa0222435064d15ada1b32e944073b54,40,blue-collar,married,basic.9y,unknown,yes,no,telephone,jun,tue,150,3,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0
a36b0c15ae0bc840e71e9f1276f91648,31,admin.,single,basic.9y,no,no,no,cellular,jul,mon,221,3,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,0
eef0125327edf81c28fc0da864adaf4d,35,management,married,university.degree,no,yes,no,cellular,aug,thu,108,4,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,0
0f490a6ca64fd846c7822ae734fcae83,24,student,single,high.school,unknown,yes,no,cellular,may,wed,290,1,999,1,failure,-1.8,92.89299999999999,-46.2,1.281,5099.1,0
c9817607ef8c456a1288c7cc15c81118,38,technician,married,university.degree,no,no,no,telephone,may,tue,125,2,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.344,5099.1,0
82cbc50ab68cd672c96e7194dcfaea6e,60,unknown,married,basic.6y,unknown,no,no,telephone,jun,tue,104,7,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0
b6a7fd6111c1d6008ae59d12d09bc6fb,47,entrepreneur,single,university.degree,unknown,yes,no,telephone,jun,fri,39,3,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,0
0b62b0c64ed3f1bb939edfa47cb57aff,33,technician,married,university.degree,no,no,no,cellular,aug,wed,123,1,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,0
4303a0d69f55972f8a01067e3ecd6348,35,admin.,divorced,university.degree,no,yes,yes,cellular,apr,mon,121,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,1
f99f9930effb652f87e8ffce96711b50,35,admin.,single,high.school,no,yes,yes,telephone,may,tue,618,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,1
078e4ef532ab8c010b852f8f0a62add7,36,admin.,married,high.school,no,no,no,cellular,mar,tue,168,1,999,0,nonexistent,-1.8,92.84299999999999,-50.0,1.7990000000000002,5099.1,1
085395f51222f8164594d4e193ab7e90,48,technician,married,university.degree,no,yes,no,cellular,aug,fri,112,2,999,0,nonexistent,1.4,93.444,-36.1,4.9639999999999995,5228.1,0
0dfe9a9b85a715b847852dba0e8f72b7,30,self-employed,married,high.school,no,no,no,cellular,nov,wed,67,1,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,0
